date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:39	87074/87074	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:28%20GMT	https://htmldemo.zcubethemes.com/qeducato/index.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/index.html	(from )
15:14:40	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Aug%202022%2009:24:09%20GMT	https://htmldemo.zcubethemes.com/robots.txt		(from )
15:14:41	766/766	---M--	200	added ('OK')	image/x-icon	date:Sat,%2020%20May%202023%2010:44:37%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/favicon.ico	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/favicon.ico	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:45	68606/68606	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:43:48%20GMT	https://htmldemo.zcubethemes.com/qeducato/css/animate.min.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/css/animate.min.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:46	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:43:51%20GMT	https://htmldemo.zcubethemes.com/qeducato/css/magnific-popup.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/css/magnific-popup.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:47	156466/156466	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:45:11%20GMT	https://htmldemo.zcubethemes.com/qeducato/fontawesome/css/all.min.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/fontawesome/css/all.min.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:48	11114/11114	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:43:50%20GMT	https://htmldemo.zcubethemes.com/qeducato/css/dripicons.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/css/dripicons.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:49	155845/155845	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:43:48%20GMT	https://htmldemo.zcubethemes.com/qeducato/css/bootstrap.min.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/css/bootstrap.min.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:49	1776/1776	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:43:55%20GMT	https://htmldemo.zcubethemes.com/qeducato/css/slick.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/css/slick.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:50	3754/3754	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:43:53%20GMT	https://htmldemo.zcubethemes.com/qeducato/css/meanmenu.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/css/meanmenu.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:51	11814/11814	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:43:49%20GMT	https://htmldemo.zcubethemes.com/qeducato/css/default.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/css/default.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:53	223338/223338	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:43:57%20GMT	https://htmldemo.zcubethemes.com/qeducato/css/style.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/css/style.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:53	50268/50268	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2010:43:54%20GMT	https://htmldemo.zcubethemes.com/qeducato/css/responsive.css	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/css/responsive.css	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:54	3538/3538	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:51:42%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/icon/phone-call.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/icon/phone-call.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:55	3542/3542	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:51:40%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/icon/mailing.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/icon/mailing.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:56	6139/6139	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:52:06%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/logo/logo.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/logo/logo.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:58	70129/70129	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:20%20GMT	https://htmldemo.zcubethemes.com/qeducato/index-2.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/index-2.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:14:59	70415/70415	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:24%20GMT	https://htmldemo.zcubethemes.com/qeducato/index-3.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/index-3.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:00	46648/46648	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:01%20GMT	https://htmldemo.zcubethemes.com/qeducato/about.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/about.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:01	31106/31106	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:13%20GMT	https://htmldemo.zcubethemes.com/qeducato/courses.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/courses.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:03	47001/47001	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:11%20GMT	https://htmldemo.zcubethemes.com/qeducato/courses-2.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/courses-2.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:04	35864/35864	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:34%20GMT	https://htmldemo.zcubethemes.com/qeducato/single-courses.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/single-courses.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:07	42011/42011	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:34%20GMT	https://htmldemo.zcubethemes.com/qeducato/single-courses-2.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/single-courses-2.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:08	30012/30012	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:15%20GMT	https://htmldemo.zcubethemes.com/qeducato/event.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/event.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:09	28590/28590	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:36%20GMT	https://htmldemo.zcubethemes.com/qeducato/single-event.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/single-event.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:11	25206/25206	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:32%20GMT	https://htmldemo.zcubethemes.com/qeducato/projects.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/projects.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:12	26901/26901	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:31%20GMT	https://htmldemo.zcubethemes.com/qeducato/pricing.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/pricing.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:13	29504/29504	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:17%20GMT	https://htmldemo.zcubethemes.com/qeducato/faq.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/faq.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:15	33870/33870	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:40%20GMT	https://htmldemo.zcubethemes.com/qeducato/team.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/team.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:16	24205/24205	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:38%20GMT	https://htmldemo.zcubethemes.com/qeducato/team-single.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/team-single.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:17	21010/21010	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:29%20GMT	https://htmldemo.zcubethemes.com/qeducato/404-error.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/404-error.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:19	36540/36540	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:06%20GMT	https://htmldemo.zcubethemes.com/qeducato/blog.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/blog.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:20	42542/42542	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:04%20GMT	https://htmldemo.zcubethemes.com/qeducato/blog-details.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/blog-details.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:22	28930/28930	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202023%2010:43:08%20GMT	https://htmldemo.zcubethemes.com/qeducato/contact.html	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/contact.html	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:25	1708899/1708899	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:52:27%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/slider/slider_bg.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/slider/slider_bg.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:25	3740/3740	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:51:57%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/icon/sve-icon4.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/icon/sve-icon4.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:26	6138/6138	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:51:58%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/icon/sve-icon5.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/icon/sve-icon5.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:27	4085/4085	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:51:59%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/icon/sve-icon6.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/icon/sve-icon6.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:28	2176563/2176563	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:52:34%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/slider/slider_bg_01.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/slider/slider_bg_01.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:28	35209/35209	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:47:34%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/bg/an-img-02.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/bg/an-img-02.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:31	454130/454130	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:50:57%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/features/about_img_02.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/features/about_img_02.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:31	50124/50124	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:47:36%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/bg/an-img-03.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/bg/an-img-03.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:33	1383/1383	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:51:31%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/icon/cou-icon.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/icon/cou-icon.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:33	433709/433709	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20May%202023%2010:48:08%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-1.jpg	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-1.jpg	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:35	295471/295471	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20May%202023%2010:48:09%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-2.jpg	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-2.jpg	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:37	362752/362752	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20May%202023%2010:48:12%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-3.jpg	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-3.jpg	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:38	364353/364353	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20May%202023%2010:48:13%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-4.jpg	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-4.jpg	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:39	423002/423002	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20May%202023%2010:48:17%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-5.jpg	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-5.jpg	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:40	11320/11320	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:47:41%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/bg/an-img-10.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/bg/an-img-10.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:41	426697/426697	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20May%202023%2010:48:18%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-6.jpg	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/bg/couress-img-6.jpg	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:42	1370/1370	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:51:34%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/icon/fea-icon01.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/icon/fea-icon01.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
15:15:43	1291/1291	---M--	200	added ('OK')	image/png	date:Sat,%2020%20May%202023%2010:51:36%20GMT	https://htmldemo.zcubethemes.com/qeducato/img/icon/fea-icon02.png	C:/My%20Web%20Sites/examination/htmldemo.zcubethemes.com/qeducato/img/icon/fea-icon02.png	(from https://htmldemo.zcubethemes.com/qeducato/index.html)
